MFN,Code,TITRE/DOSSIER,CONTENU,ANA. DIPLOM.,DATE EXTREME,ANNEE,PASSAGE GED,SORT FINAL,OBSERVATIONS
00451,0445/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ STD,"LIVRAISON, SOTIE GAZ, SODIGAZ, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),SEPTEMBRE 2013,2013,OUI,CONSERVATION,
00452,0446/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ STD,"LIVRAISON, SOTIE GAZ, SODIGAZ, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),OCTOBRE 2013,2013,OUI,CONSERVATION,
00453,0447/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ STD,"LIVRAISON, SOTIE GAZ, SODIGAZ, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),NOVEMBRE 2013,2013,OUI,CONSERVATION,
00454,0448/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ STD,"LIVRAISON, SOTIE GAZ, SODIGAZ, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),DECEMBRE 2013,2013,OUI,CONSERVATION,
00455,0449/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ TOTAL BURKINA,"LIVRAISON, SOTIE GAZ, TOTAL, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),JANVIER 2013,2013,OUI,CONSERVATION,
00456,0450/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ TOTAL BURKINA,"LIVRAISON, SOTIE GAZ, TOTAL, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),FEVRIER 2013,2013,OUI,CONSERVATION,
00457,0451/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ TOTAL BURKINA,"LIVRAISON, SOTIE GAZ, TOTAL, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),MARS 2013,2013,OUI,CONSERVATION,
00458,0451/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ TOTAL BURKINA,"LIVRAISON, SOTIE GAZ, TOTAL, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),MARS 2013,2013,OUI,CONSERVATION,
00459,0452/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ TOTAL BURKINA,"LIVRAISON, SOTIE GAZ, TOTAL, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),AVRIL 2013,2013,OUI,CONSERVATION,
00460,0453/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ TOTAL BURKINA,"LIVRAISON, SOTIE GAZ, TOTAL, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),MAI 2013,2013,OUI,CONSERVATION,
