reference,cote,auteur,titre,publication,pagination,descripteurs
074CE.0013,074CE.0013,EDITION LAMY,Catalogue 2000,"PARIS : éd.LAMI, 2000",82p,
075AN.0039,075AN.0039,EPI AFRIQUE,Les pages jaunes Afrique 2000-2001,"Nice : EPI Afrique,",482p,/ANNUAIRE//TELEPHONE//AFRIQUE/
076AN.0040,076AN.0040,BCEAO,Note d'information statistiques février 1988,"OUAGA : BCEAO, 1988",mult.pag.,/INFORMATION//STATISTIQUE/
077AN.0041,077AN.0041,BCEAO,Note d'information statistiques mars 1988,"OUAGA : BCEAO, 1988",mult.pag.,/INFORMATION//STATISTIQUE/
078AN.0042,078AN.0042,BCEAO,Note d'information statistiques avril 1988,"OUAGA : BCEAO, 1988",mult.pag.,/INFORMATION//STATISTIQUE/
079AN.0043,079AN.0043,SONABHY (BOBO),Statistiques année 2000 : dépot BOBO,"BOBO : SONABHY, 2001",63p,/STATISTIQUE//SONABHY//BOBO/
080AN.0044,080AN.0044,BCEAO,Note d'information statistiques février n° 358,"OUAGA : BCEAO, 1987",mult.pag.,/INFORMATION//STATISTIQUE//BCEAO/
081AN.0045,081AN.0045,BCEAO,Note d'information statistiques mars n° 358,"OUAGA : BCEAO, 1987",mult.pag.,/INFORMATION//STATISTIQUE//BCEAO/
082AN.0046,082AN.0046,BCEAO,Note d'information statistiques juillet n° 362,"OUAGA : BCEAO, 1987",mult.pag.,/INFORMATION//STATISTIQUE//BCEAO/
083AN.0047,083AN.0047,BCEAO,Note d'information statistiques aout-septembre n° 363,"OUAGA : BCEAO, 1987",mult.pag.,/INFORMATION//STATISTIQUE//BCEAO/
084AN.0048,084AN.0048,BCEAO,Note d'information statistiques octobre n° 364,"OUAGA : BCEAO, 1987",mult.pag.,/INFORMATION//STATISTIQUE//BCEAO/
085AU.0002,085AU.0002,EDITION QUILLET,Dictionnaire quillet de la langue française A-C,"PARIS : éd. QUILLET, 1975",no.pag.,/DICTIONNAIRE//FRANCAIS/
086AU.0003,086AU.0003,EDITION QUILLET,Dictionnaire QUILLET de la langue française D-J,"PARIS : éd. QUILLET, 1975",no.pag.,/DICTIONNAIRE//FRANCAIS/
087AU.0004,087AU.0004,EDITION QUILLET,Dictionnaire QUILLET de la langue française K-P,"PARIS : éd. QUILLET, 1975",no.pag.,/DICTIONNAIRE//FRANCAIS/
088AU.0005,088AU.0005,EDITION QUILLET,Dictionnaire QUILLET de la langue française Q-Z,"PARIS : éd. QUILLET, 1975",no.pag.,/DICTIONNAIRE//FRANCAIS/
089AN.0049,089AN.0049,SONABHY,Annuaire statistiques 1996,"OUAGA : SONABHY, 1997",34p,/ANNUAIRE//STATISTIQUE//SONABHY/
090CE.0014,090CE.0014,KARTHALA,Catalogue 2003 karthala,"PARIS : KARTHALA, 2003",136p,/CATALOGUE//PUBLICATION/
091CE.0015,091CE.0015,GROUPE LIAISONS,Social et ressources humaines : publications et CD-ROM 2000,"RUEIL - M : G L, 2000",22p,/RESSOURCES HUMAINES//PUBLICATION//CD - ROM/
092CE.0016,092CE.0016,RF MULTIMEDIA,Catalogue 2000,"PARIS : REVUE FIDUCIAIRE, 2000",61p,/CATALOGUE//PUBLICATION/
