reference,cote,auteur,titre,publication,pagination,descripteurs
126CE.0032,126CE.0032,L'ENTREPRENEURSHIP,Publications 2004-2005 : solutions pour réussir,"Quebec : Les Ed de la Fondation de l'ENTREPRENEURSHIP,",,
127RE.0014,127RE.0014,CCIA-BF,Répertoire des entreprises et structures participantes,"Ouagadougou : CCIA, 2004",33p,/COMMERCE//INDUSTRIE//ARTISANAT//REPERTOIRE//BURKINA FASO/
128AU.0011,128AU.0011,BUREAU DE PROMOTION DU COMMERCE CANADA,Guide de l'exportation au Canada,"Ottawa : BPCC, 2002",38p,/EXPORTATION//COMMERCE//IMPORTATION//MARCHE//CANADA/
129AU.0012,129AU.0012,LA PETITE ACADEMIE,Premier dictionnaire burkinabé : 100 personnalités et 50 gouvernements de 1957-2007,"Ouagadougou : IPA, 2007",460p : ill en coul.,/PERSONNALITE BURKINABE//GOUVERNEMENT//BURKINA FASO/
130CM.0021,130CM.0021,STRUCKMOBILES,SuperStar,"s.l. : s.n., 2003",212p : ill. en coul.,/CATALOGUE//VEHICULE/
131AU.0013,131AU.0013,BURKINA FASO (MEF),Guide de l'acheteur public et repertoire des termes en usage dans les marchés publics au Burkina Faso,"Ouagadougou : IPR, 2000",181p,/PASSATION DE MARCHE//MARCHE PUBLIC//BURKINA FASO/
132AU.0014,132AU.0014,BURKINA FASO (MEF),Guide pratique du candidat aux marchés publics du Burkina Faso,"Ouagadougou : MEF, A2000",50p,/MARCHE PUBLIC//PASSATION DE MARCHE//COMMANDE
133AN.0057,133AN.0057,SONABHY,Annuaire statistique 1998,"Ouagadougou : SONABHY, s.d.",46p,/STATISTIQUE//HYDROCARBURE//APPROVISIONNEMENT//VENTE/
135RE.0015,135RE.0015,GROUP DEMOS,L'essentiel : Une sélection de 300 formations,"Paris : GROUP DEMOS, 2006.","194p. : couv. ill. en coul. , ill. en coul.",/FORMATION//COMPETENCE//RESSOURCE
141CM.0015,141CM.0015,Conseil Supérieur de la Communication,Guide de Regulateur des Médias,"ouagadougou : CSC, 2013",113p.,/REGULATION//MEDIAS//PRESSE/
142AN.0059,142AN.0059,Présidence du Faso(Grande Chancellerie du BURKINA),Annuaire des membres des ordres burkinabé de 1994-1997,"ouagadougou : CHORISTRI, (s.d)",115p.,/GRANDE CHANCELLERIE//ANNUAIRE//ORDRE BURKINABE/
143AN.0060,143AN.0060,Présidence du Faso(Grande Chancellerie du BURKINA),Annuaire des membres des ordres burkinabé de 1998-1999,"OUAGADOUGOU : CHORISTRI, (s.d)",130p.,/ANNUAIRE//ORDRE BURKINABE//GRANDE CHANCELLERIE// BURKINA
144CE.0033,144CE.0033,IFP TRAINING,Raffinage chimie : Catalogue des formations 2015 = Refining echemicals :course directory 2015,"Paris : IFP TRAINING, 2015",289p,/CATALOGUE//FORMATION PROFESSIONNELLE//RAFFINAGE//CHIMIE/
145RE.0016,145RE.0016,WORLD TRADE CONNECTION,THE INTERNATIONAL TRADE DIRECTORY,1171 P.,,/CATALOGUE//ADMINISTRATION//ORGANISATION
146RE.0017,146RE.0017,WORLDSCALE ASSOCIATION,NEW WORLDWIDE TANKER NOMINAL FREIGHT SCALE: APPLYING TO THE CARRIAGE OF OIL IN BULK,512 P.,,/ASSOCIATION//TRANSIT/
147AN.0061,147AN.0061,MINISTERE DE L'EMPLOI,ANNUAIRE OFFIFICIEL DU MINISTERE DE L'EMPOI DU TRAVAIL ET DE LA SECURITE SOCIAL,221 P.,,/O.I.T//TRAVAIL//SECURITE
148AU.0016,148AU.0016,MINISTERE DE L'ECONOMIE ET DES FINANCES,GUIDE OFFOCIEL FISCAL ET DOUANIER,303 P.,,/DOUANE//UEMOA//REGLEMENTATION//FISCALITE//CODE
149AU.0017,149AU.0017,MINISTERE DE L'ECONOMIE ET DES FINANCES,GUIDE OFFICIEL FISCAL ET DOUANIER,317 P.,,/DOUANE//BUDGET
150RE.0018,150RE.0018,ARAB PETROLEUM RESEARCH CENTER,ARAB OIL & GAS DIRECTORY,317 P.,,/PETROLE//GAZ//PAYS ARABE//COMMERCE//RAFFINAGE//REPERTOIRE/
151RE.0019,151RE.0019,ARAB PETROLEUM RESEARCH CENTER,ARAB OIL & GAS DIRECTORY,608P.,,/PAYS ARABE//PETROLE//GAZ//DEVELOPPEMENT
152AN.0062,152AN.0062,INSD,Annuaire statistique 2007,"Ouagadougou : INSD, 2007",427p,/STATISTIQUE//ANNUAIRE//POPULATION//DEMOGRAPHIE//ECONOMIE/
153AN.0063,153AN.0063,INSD,ANNUAIRE STATISTIQUE 2000,"Ouagadougou : SONABHY, 2000",41p,/STATISTIQUE//ANNUAIRE//SONABHY//PRODUIT PETROLIER/
154AN.0064,154AN.0064,MINISTERE DU COMMERCE DE L'INDUSTRIE ET DE L'ARTISANAT (BF),Annuaire statistique 2016,101p,,/STATISTIQUE//COMMERCE//ARTISANAT//INDUSTRIE//ENT
