ID,TITRE_DOSSIER,N_PIECES;,DATE;,OBSERVATIONS,CONTENU;,ANA_DIPLOM,CLI_FOUR;,L'INTERIEUR_DE_LA_COUR_DU_SIEGE,SIEGE_DE_LA_SONABHY,SONABHY,CONTRE_L'INCENDIE,AUX_COMPTES_I,AUX_COMPTES_II,AUX_COMPTES_III,INCENDIE_I,INCENDIE_II,WAGONS-CITERNES_A_BINGO_I,WAGONS-CITERNES_A_BINGO_II,DEPOT_DE_BOBO,"""TITRE_DOSSIER","DATE;""",BINGO,BINGO_II,SIEGE,II,AU_DEPOT,DU_SIEGE,DE_COMPTE,COMPTABILITE,
22,ACHATS,"3073, 3204","DECEMBRE, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
23,ACHATS,"3205, 3352","DECEMBRE, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
24,ACHATS,"3353, 3458","DECEMBRE, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
25,VENTES,"0001, 0110","JANVIER, MARS, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
26,VENTES,"0111, 0240","AVRIL, MAI, JUIN, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
27,VENTES,"0241, 0414","JUILLET, AOUT, SEPTEMBRE, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
28,VENTES,"0415, 0526","OCTOBRE, NOVEMBRE, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
29,VENTES,"0527, 0643","DECEMBRE, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
30,VENTES,"0644, 0697","DECEMBRE, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
31,OD,"0001, 0147","JANVIER, FEVRIER, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
32,OD,"0148, 0320","MARS, AVRIL, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
33,OD,"0321, 0498","MAI, JUIN, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
34,OD,"0499, 0620","JUILLET, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
35,OD,"0621, 0749","AOUT, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
36,OD,"0750, 0890","SEPTEMBRE, OCTOBRE, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
37,OD,"0891, 1005","NOVEMBRE, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
38,OD,"1006, 1113","DECEMBRE, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
39,OD,"1114, 1248","DECEMBRE, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
40,OD,"1249, 1395","DECEMBRE, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
41,OD,"1396, 1494","DECEMBRE, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
42,CAISSE,"001, 031","JANVIER, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
43,CAISSE,"032, 066","JANVIER, FEVRIER, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
44,CAISSE,"067, 090","FEVRIER, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
45,CAISSE,"091, 117","FEVRIER, MARS, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
46,CAISSE,"118, 138","MARS, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
47,CAISSE,"139, 160","MARS, AVRIL, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
48,CAISSE,"161, 180","AVRIL, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
49,CAISSE,"181, 201",1999,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,CAISSE,"202, 214",1999,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,CAISSE,"0215, 0239","MAI, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
52,CAISSE,"0240, 0259","JUIN, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
53,CAISSE,"0260, 0281","JUIN, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
54,CAISSE,"0282, 0306","JUILLET, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
55,CAISSE,"0307, 0330","JUILLET, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
56,CAISSE,"0331, 0348","AOUT, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
57,CAISSE,"349, 361","AOUT, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
58,CAISSE,"362, 392","AOUT, SEPTEMBRE, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
59,CAISSE,"0393, 0412","SEPTEMBRE, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
60,CAISSE,"413, 436","SEPTEMBRE, OCTOBRE, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
61,CAISSE,"437, 450","OCTOBRE, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
62,CAISSE,"451, 466","OCTOBRE, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
63,CAISSE,"467, 486","OCTOBRE, NOVEMBRE, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
64,CAISSE,"487, 501","NOVEMBRE, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
65,CAISSE,"502, 531","NOVEMBRE, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
66,CAISSE,"532, 549","DECEMBRE, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
67,CAISSE,"550, 568","DECEMBRE, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
68,CAISSE,"569, 588","DECEMBRE, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
69,BCB,,"JANVIER, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
70,BCB,,"FEVRIER, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
71,BCB,,"MARS, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
72,BCB,,"AVRIL, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
73,BCB,,"MAI, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
