date_versement,date_enregistrement,provenance,cote,titre,contenu,analyse,dates_extremes,annee,duree_utilite,sort_final,initial,niveau_description,importance_materielle,ged
 ANCIEN FONDS, 02-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0015/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU COURRIER  DE AOUT 1991 A JUIN 1993,TRANSMISSION; COURRIER, REGISTRE, AOUT 1991 - JUIN 1993,1991; 1992; 1993, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 02-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0016/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU COURRIER DE NOVEMBRE 1991 A AVRIL 1994,TRANSMISSION; COURRIER, REGISTRE, NOVEMBRE 1991 - AVRIL 1994,1991; 1992; 1993; 1994, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 02-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0017/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU COURRIER DE JUILLET 1992 A MARS 1993,TRANSMISSION; COURRIER, REGISTRE, JUILLET 1992 - MARS 1993,1992; 1993, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 02-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0018/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU COURRIER DE MARS 1993 A AOUT 1994,TRANSMISSION; COURRIER, REGISTRE, MARS 1993 - AOUT 1994,1993; 1994, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 02-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0019/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU COURRIER DE JUIN 1993 A MARS 1994,TRANSMISSION; COURRIER, REGISTRE, JUIN 1993 - MARS 1994,1993; 1994, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 02-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0020/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTE DE TRANSMISSION DU COURRIER DE MARS 1994 A MAI 1995,TRANSMISSION; COURRIER, REGISTRE, MARS 1994 - MAI 1995,19994; 1995, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 02-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0021/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU COURRIER DE AVRIL 1994 A DECEMBRE 1995,TRANSMISSION; COURRIER, REGISTRE, AVRIL 1994 - DECEMBRE 1995,1994; 1995, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 03-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0022/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU COURRIER DE AOUT 1994 A MARS 1996,TRANSMISSION; COURRIER, REGISTRE, AOUT 1994 - MARS 1996,1994; 1996, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 02-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0023/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU COURRIER DE DECEMBRE 1995 A JUIN 1997,TRANSMISSION; COURRIER, REGISTRE, DECEMBRE 1995 - JUIN 1997,1995; 1996; 1997, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 02-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0024/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU COURRIER DE FEVRIER 1997 A FEVRIER 2006,TRANSMISSION; COURRIER, REGISTRE, FEVRIER 1997 - FEVRIER 2006,1997; 1998; 1999; 2000; 2001; 2002; 2003; 2004; 2005; 2006, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
