cote,auteur,titre,adresse,description_tech,descrip_matiere
PHO.056,SONABHY,PASSATION DE FONCTION ENTRE LE PCA SORTANT SEYDOU ILBOUDO ET LE PCA ENTRANT HONORE HADI YONLI RESSOURCE  : ALBUM GRAND FORMANT,,77 PHOTOS  EN COUL. NOTES;: BON ETAT,/PASSATION CHARGE//ILBOUDO SEYDOU//YONLI HONORE HADI//SONABHY/
PHO.057,SONABHY,CEREMONIE DE POT D'AUREVOIR AUX RETRAITES DE LA SONABHY SUIVIE DE REMISE DE MEDAILLE RESSOURCE  : ALBUM GRAND FORMANT,,90 PHOTOS  EN COUL. NOTES;: BON ETAT,/RETRAITE//DEPART A LA RETRAITE//MEDAILLE//SONABHY//RESSOURCE HUMAINE/
PHO.058,SONABHY,SIGNATURE DE CONVENTION CADRE DE PARTENARIAT SONABHY CHAMBRE DE METIERS DE L'ARTISANAT DU BF SEPT 2021 RESSOURCE  : ALBUM GRAND FORMANT,,58 PHOTOS  EN COUL. NOTES;: BON ETAT,/PARTENARIAT//SONABHY//CMABF//SIGNATURE
REL.015,SONABHY,"DONNEES INFORMATIQUES: DISQUE DUR HDD0224-01 DU 08-02-2024:SI, EVBDD1, SIEVSCCM, SIEVSCDPM, SIEVSCSM, SIEVSCVMM",,DISQUE DUR EXTERNE NOTES;: BON ETAT,/BASE DE DONNEE//INFORMATIQUE//SAUVEGARDE/
REL.016,SONABHY,"DONNEES INFORMATIQUES : DISQUE DUR HDD0224-02 DU 08-02-2024:SIEVDHCP, SIEVSEDR,",,DISQUE DUR NOTES;: BON ETAT,/BASE DE DONNEE//INFORMATIQUE//SAUVEGARDE/
REL.017,SONABHY,"DONNEES INFORMATIQUES : DISQUE DUR HDD0224-02 DU 08-02-2024:JDZBDD,JDZDEV,JDEENT,JDEOVR,JDEWEB1",,DISQUE DUR NOTES;: BON ETAT,/BASE DE DONNEE//INFORMATIQUE//SAUVEGARDE//JDE//DONNEE INFORMATIQUE/
REL.019,SONABHY,DONNEES INFORMATIQUES : DISQUE DUR HDD0424-01,,DISQUE DUR NOTES;: BON ETAT,/GED//GAZBUTANE//RESSOURCE HUMAINE//CONTRAT/DONNE INFORMATIQUE//BASE DE DONNEE/
REL.020,SONABHY,"DISQUE DUR : HDD0624-01:192.1680.203:(SIEVDC2,SIEVFILES2,SIEVG EDBDD,SIEVGEDWEB,SIEVMBX2,SIEVVIDS,OTHER) DU 08-06-2024 ET 192.168.0.2040DU 08-06-2024",,DISQUE DUR NOTES;: BON ETAT,/GED// INFORMATIQUE//BASE DE DONNEE//SERVEUR/
REL.021,SONABHY,"""DISQUE DUR :  HDD0624-02:172.20.10.201;"" (SIEVBDD1,SIEVsccm,SIEVSCDPM,SIEVSCOM,SIEVSCSM,SI ""EVSCVMM,); 172.20.10.202 (SIEVDHCP,SIEVSEDR);"" 172.20.10.210 (SIEVMAARCHRM)",,DISQUE DUR NOTES;: BON ETAT,/ INFORMATIQUE//BASE DE DONNEE//MAARCH/
REL.022,SONABHY,"""DISQUE DUR :  HDD0624-03:172.20.10.100;"" (JDEBDD,JDEWEB1,JDEENT,JDEDEP,JDEOVR) DU 08-06-2024",,DISQUE DUR NOTES;: BON ETAT,/ INFORMATIQUE//BASE DE DONNEE//WEB//SERVEUR/
REL.023,SONABHY,"""DISQUE DUR :  HDD0624-04:192.20.168.0.100;"" (SIEVJDEBDD,SIEVJDEWEB1,SIEVJDEWEB2, SIEVJDEENT, SIEVJDEDEP,SIEVJDEOVR, SIEVFIN01, SIEVXRT,SIEVKIRA) DU 08-06-2024",,DISQUE DUR NOTES;: BON ETAT,/ INFORMATIQUE//BASE DE DONNEE//WEB//SERVEUR//JDE//DISQUE DUR//KIRA//FINANCE/
REL.024,SONABHY,"DISQUE DUR :  HDD0624-05:DOCUBASE(13-04-2024 /24-06-2024) JDE (12-03-2024/22-05-2024) PROJET ""GESTION DES CONTRATS (19-03-2024); XRT"" (28-02-2024/19-06-2024)",,DISQUE DUR NOTES;: BON ETAT,/ INFORMATIQUE//BASE DE DONNEE//JDE//DISQUE DUR//DOCUBASE//GESTION DES CONTRAT//GAZ BUTANE//PERSONNEL//XRT/
REL.025,SONABHY,"[DONNEES INFORMATIQUES]:DISQUE DUR HDD 1224-01: GEDBDD DOCUBASE(13/04/2024-15/08/2024), GAZPERSONNEL DB(25/06/2024-15/08/2024), JDE_PRODUCTION(23/05/2024-30/07/2024), JDE920 (24/05/2024-26/07/2024), JDE_PY920, JDE_PS920, JDE_DV920, JDE_DEVELOPEMENT , JDE_CRP , JDE_BIP(31/05/2024), REQUETES SQL PROJETS SQL, PROJETS (26/06/2024), XRTPRODUCTION XRT, COMMONS XRT, FORMABANK (22/05/2024)",,DISQUE DUR,/BASE DE DONNEE/ /ARCHIVAGE ELECTRONIQUE/ /DOCUBASE/ /DONNEE INFORMATIQUE/
