ID,Cote de rangement,Titre du dossier,Contenu du dossier,Analyse diplomatique,Solution GED,Annee
01118,1601/CJ,JURIDICTION ET CONTENTIEUX ; TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°18/0822 DU 05 OCTOBRE 2018 + CONTRAT N°24/0040 DU 19 JANVIER 2024 : SONABHY ET TRANSCOLO (CMDTL),"TRANSPORT, PRODUIT PETROLIER, SONABHY, TRANSCOLO, CMDTL","(CONTRAT, AVENANT)",DOCESSEN,2018 2024
01119,1602/CJ,JURIDICTION ET CONTENTIEUX ; TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°18/0884 DU 13 NOVEMBRE 2018 + AVENANT N°19/0189 DU 06 JUIN 2019 + AVENANT N°19/0446 DU 15 NOVEMBRE 2019 : SONABHY ET FUTUR CONSTRUCTION INTERNATIONAL,"TRANSPORT, PRODUIT PETROLIER, SONABHY, FUTUR CONSTRUCTION INTERNATIONAL","(CONTRAT, AVENANT)",DOCESSEN,2018 2019
01120,1603/CJ,JURIDICTION ET CONTENTIEUX ; TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°18/0891 DU 21 NOVEMBRE 2018 : SONABHY ET ATELIER DE CONSTRUCTION METALLIQUE ET DE CONCEPTION,"TRANSPORT, PRODUIT PETROLIER, SONABHY, ATELIER DE CONSTRUCTION METALLIQUE ET DE CONCEPTION",(CONTRAT),DOCESSEN,2018
01121,1604/CJ,JURIDICTION ET CONTENTIEUX ; TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°18/0882 DU 13 NOVEMBRE2018 + AVENANT N°21/00119 DU 27 MAI 2021 : SONABHY ET TRANSTRADE INTERNATIONAL,"TRANSPORT, PRODUIT PETROLIER, SONABHY, TRANSTRADE INTERNATIONAL",(CONTRAT),DOCESSEN,2018 2021
01122,1605/CJ,JURIDICTION ET CONTENTIEUX ; TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°18/0849 DU 02 NOVEMBRE 2018 : SONABHY ET OUEDRAOGO FATIMA HAMED,"TRANSPORT, PRODUIT PETROLIER, SONABHY, OUEDRAOGO FATIMA HAMED",(CONTRAT),DOCESSEN,2018
01123,1606/CJ,JURIDICTION ET CONTENTIEUX ; TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°18/0880 DU 12 NOV EMBRE 2018 + AVENANT N°19/359 DU 02 AOUT 2019 + AVENANT N°22/0091 DU 02 MARS 2022 + AVENANT N°23/0124 DU 22 FEVRIER 2023 : SONABHY ET STSF (SIDIBE BOUREIMA),"TRANSPORT, PRODUIT PETROLIER, SONABHY, STSF, SIDIBE BOUREIMA","(CONTRAT, AVENANT)",DOCESSEN,2018 2019 2022 2023
01124,1607/CJ,JURIDICTION ET CONTENTIEUX ; TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°18/0850 DU 02 NOVEMBRE 2018 : SONABHY ET KEITA ISSA,"TRANSPORT, PRODUIT PETROLIER, SONABHY, KEITA ISSA",(CONTRAT),DOCESSEN,2018
01125,1608/CJ,JURIDICTION ET CONTENTIEUX ; TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°18/0881 DU 13 NOVEMBRE 2018 + AVENANT N°20/0149 DU 18 MAI 2020 + AVENANT N°21/0143 DU 25 JUIN 2021 : SONABHY ET MAJID GROUP LOGISTIC,"TRANSPORT, PRODUIT PETROLIER, SONABHY, MAJID GROUP LOGISTIC, MGL","(CONTRAT, AVENANT)",DOCESSEN,2018 2020 2021
01126,1609/CJ,JURIDICTION ET CONTENTIEUX ; TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°18/0905 DU 26 NOVEMBRE 2018 + AVENANT N°19/0029 DU 01 FEVRIER 2019 + AVENANT N°22/0082 DU 18 FEVRIER 2022 + CONTRAT N°23/0375 DU 17 JUIN 2023 + AVENANT N°24/0090 DU 19 FEVRIER 2024 : SONABHY ET JIVAROS TRADING,"TRANSPORT, PRODUIT PETROLIER, SONABHY, JIVAROS TRADING","(CONTRAT, AVENANT)",DOCESSEN,2018 2019 2022 2023 2024
01127,1610/CJ,JURIDICTION ET CONTENTIEUX ; VENTE DE PRODUITS PETROLIERS ; CONTRAT N°18/0911 DU 03 DECEMBRE 2018 : SONABHY ET BURKINA HYDROCARBURE ET LUBRIFIANT (BHYL),"VENTE, PRODUIT PETROLIER, SONABHY, BURKINA HYDROCARBURE ET LUBRIFIANT, BHYL",(CONTRAT),DOCESSEN,2018
01128,1611/CJ,JURIDICTION ET CONTENTIEUX ; TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°18/0870 DU 07 NOVEMBRE 2018 : SONABHY ET BOKIN TRANSPORT ET COMMERCE (BTRA COM),"TRANSPORT, PRODUIT PETROLIER, SONABHY, BOKIN TRANSPORT ET COMMERCE, BTRA COM",(CONTRAT),DOCESSEN,2018
01129,1612/CJ,JURIDICTION ET CONTENTIEUX ; TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°18/0802 DU 24 SEPTEMBRE 2018 : SONABHY ET YAMWEMBA,"TRANSPORT, PRODUIT PETROLIER, SONABHY, YAMWEMBA",(CONTRAT),DOCESSEN,2018
01130,1613/CJ,JURIDICTION ET CONTENTIEUX ; TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°18/0883 DU 13 NOVEMBRE 2018 : SONABHY ET PORGO TRANSPORT ET SERVICES,"TRANSPORT, PRODUIT PETROLIER, SONABHY, PORGO TRANSPORT ET SERVICES",(CONTRAT),DOCESSEN,2018
01131,1614/CJ,"JURIDICTION ET CONTENTIEUX ; TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°18/0914 DU 03 DECEMBRE 2018 + AVENANT N°19/0170 DU 17 MAI 2019 + AVENANT N°20/0271 DU 30 JUIN 2020 + AVENANT N°22/0574 DU 11 NOVEMBRE 2022 + AVENANT N°24/0122 DU 01 MARS 2024 : SONABHY ET DOFINITA TRANSPORT(DOFINITA TRANSPORT ET SERVICES, LOHOUA ZOE DIEUDONNE)","TRANSPORT, PRODUIT PETROLIER, SONABHY, DOFINITA TRANSPORT, DOFINITA TRANSPORT ET SERVICES, LOHOUA ZOE DIEUDONNE","(CONTRAT, AVENANT)",DOCESSEN,2018 2019 2020 2022 2024
01132,1615/CJ,JURIDICTION ET CONTENTIEUX ; TRANSPORT DE PRODUITS PETROLIERS ; AVENANT N°18/0865 DU 02 NOVEMBRE 2018 + AVENANT N°19/0401 DU 02 JUILLET 2019 + AVENANT N°20/0023 DU 23 JANVIER 2020 + AVENANT N°20/0270 DU 30 JUIN 2020 + AVENANT N°21/0035 DU 10 FEVRIER 2021 + AVENANT N°22/0233 DU 11 MAI 2022 + AVENANT N°22/0452 DU 02 SEPTEMBRE 2022 : SONABHY ET SEVEN'S,"TRANSPORT, PRODUIT PETROLIER, SONABHY, SEVEN'S",(AVENANT),DOCESSEN,2018 2019 2020 2021 2022
01133,1616/CJ,JURIDICTION ET CONTENTIEUX ; TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°18/0916 DU 04 DECEMBRE 2018 + AVENANT N°21/0093 DU 30 AVRIL 2021 + AVENANT N°23/428 DU 13 SEPTEMBRE 2023 : SONABHY ET KARBO TRANSPORT,"TRANSPORT, PRODUIT PETROLIER, SONABHY, KARBO TRANSPORT","(CONTRAT, AVENANT)",DOCESSEN,2018 2021 2023
01134,1617/CJ,JURIDICTION ET CONTENTIEUX ; TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°18/0908 DU 29 NOVEMBRE 2018 : SONABHY ET BONCOUNGOU LOCATION,"TRANSPORT, PRODUIT PETROLIER, SONABHY, BONCOUNGOU LOCATION",(CONTRAT),DOCESSEN,2018
01135,1618/CJ,"JURIDICTION ET CONTENTIEUX ; TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°18/0933 DU 12 DECEMBRE 2018 + AVENANT N°22/0264 DU 19 MAI 2022 : SONABHY ET OUEDRAOGO KINDA MARIE JEANNE, WENDE MANEGDA","TRANSPORT, PRODUIT PETROLIER, SONABHY, OUEDRAOGO KINDA MARIE JEANNE, WENDE MANEGDA","(CONTRAT, AVENANT)",DOCESSEN,2018 2022
01136,1619/CJ,JURIDICTION ET CONTENTIEUX ; TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°18/0920 DU 10 DECEMBRE 2018 + AVENANT N°22/0230 DU 11 MAI 2022 + AVENANT N°24/0078 DU 14 FEVRIER 2024 : SONABHY ET GLOBAL SERVICE DU FASO,"TRANSPORT, PRODUIT PETROLIER, SONABHY, GLOBAL SERVICE DU FASO","(CONTRAT, AVENANT)",DOCESSEN,2018 2022 2024
01137,1620/CJ,JURIDICTION ET CONTENTIEUX ; TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°18/0968 DU 26 DECEMBRE 2018 : SONABHY ET MRJF TRANSPORT,"TRANSPORT, PRODUIT PETROLIER, SONABHY, MRJF TRANSPORT",(CONTRAT),DOCESSEN,2018
01138,1621/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS : CONTRAT N°18/0788 DU 14 SEPTEMBRE 2018 : SONABHY ET ZONGO OUSSENI,"TRANSPORT, PRODUIT PETROLIER, SONABHY, ZONGO OUSSENI",(CONTRAT),DOCESSEN,2018
01139,1622/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS : CONTRAT N°18/0964 DU 26 DECEMBRE 2018 : SONABHY ET TAO ADAMA,"TRANSPORT, PRODUIT PETROLIER, SONABHY, TAO ADAMA",(CONTRAT),DOCESSEN,2018
