ID,Cote de rangement,Titre du dossier,Contenu du dossier,Analyse diplomatique,Solution GED,Annee
00001,0514/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRAVAIL A DUREE DETERMINEE N°11/1919 DU 25 AOUT 2011 + CONTRAT DE TRAVAIL A DUREE DETERMINEE N°12/1812 DU 23 AOUT 2012 : SONABHY ET SAWADOGO ISSOUFOU,"TRAVAIL, CONTRAT A DUREE DETERMINEE, SONABHY, SAWADOGO ISSOUFOU",(CONTRAT),DOCESSEN,2011 2012
00002,0515/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE LIVRAISON DE 7700 TM D'ESSENCE N°13/146 DU 24 DECEMBRE 2013 + CONTRAT DE VENTE N°11/066 DU 22 AOUT 2011 + CONTRAT DE VENTE DE PRODUITS PETROLIERS N°12/021 DU 09 MARS 2012 + CONTRAT DE VENTE DE PRODUITS PETROLIERS N°12/018 DU 05 MARS 2012 + LIVRAISON DE 10 000 TM DE SUPER 91 CIF N°12/0056 DU 11 MAI 2012 + CONTRAT DE LIVRAISON DE PRODUITS PETROLIERS N°13/114 DU 19 SEPTEMBRE 2013 + CONTRAT DE LIVRAISON DE JET A1 N°13/147 DU 24 DECEMBRE 2013 + CONTRAT DE LIVRAISON DE JET A1 N°13/148 DU 24 DECEMBRE 2013 + CONTRAT DE PRET N°16/010 DU 25 JANVIER 2016 : SONABHY ET MERCURIA TRADING,"VENTE, PRODUIT PETROLIER, LIVRAISON, PRET, SONABHY, MERCURIA TRADING",(CONTRAT),DOCESSEN,2011 2012 2013 2016
00003,0516/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE VENTE DE PRODUITS PETROLIERS N°11/058 DU 29 JUIN 2011 + AVENANT N°14/0099 DU 15 JUILLET 2014 + CONTRAT DE VENTE N°19/0102 DU 22 MARS 2019 + CONTRAT DE VENTE N°22/0169 DU 21 AVRIL 2022 + CONTRAT ACHAT N°23/0534 DU 12 DECEMBRE 2023 : SONABHY ET ADDAX ENERGY,"VENTE, PRODUIT PETROLIER, SONABHY, ADDAX ENERGY","(CONTRAT, AVENANT)",DOCESSEN,2011 2014 2019 2022 2023
00004,0517/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT N°11/0064 DU 02 AOUT 2011 + AVENANT N°13/0134 DU 20 NOVEMBRE 2013 + CONTRAT N°17/143 DU 07 AVRIL 2017 : SONABHY ET FASO LAWULI,"TRANSPORT, PRODUIT PETROLIER, SONABHY, FASO LAWULI","(CONTRAT, AVENANT)",DOCESSEN,2011 2013 2017
00005,0518/CJ,CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°11/0065 DU 02 AOUT 2011 : SONABHY ET ENTREPRISE OUEDRAOGO ALY,"TRANSPORT, PRODUIT PETROLIER, SONABHY, ENTREPRISE OUEDRAOGO ALY",(CONTRAT),DOCESSEN,2011
00006,0519/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT D'ENTRETIEN N°2011/001/ASC DU 14 JUILLET 2011 + CONTRAT N°1856/2015 DU 12 AOUT 2015 : SONABHY ET CFAO TECHNOLOGIES,"ENTRETIEN, ASCENSEUR, SONABHY, CFAO TECHNOLOGIES",(CONTRAT),DOCESSEN,2011 2015
00007,0520/CJ,CONTRAT D'ENTRETIEN DES CLIMATISEURS N°2011/001/CLIM DU 14 JUILLET 2011 : SONABHY ET CFAO TECHNOLOGIES,"ENTRETIEN, CLIMATISEUR, SONABHY, CFAO TECHNOLOGIES",(CONTRAT),DOCESSEN,2011
00008,0521/CJ,"CONVENTION SUBSIDIAIRE PORTANT RETROCESSION SOUS FORME DE PRET DU CREDIT BID D16. i/ACPBF.TXT DU 24 NOVEMBRE 1994 : SONABHY, MEF ET BID","CONVENTION, CREDIT, BID, MINISTERE DE L'ECONOMIE ET DES FINANCES, SONABHY, RETROCESSION",(CONTRAT),DOCESSEN,1997
00009,0522/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE VENTE DE FUEL OIL CAF LOME DU 22 DECEMBRE 2010 + CONTRAT DE VENTE DU 03 AVRIL 2015 + CONTRAT N°16/0468 DU 19 OCTOBRE 2016 + CONTRAT A TERME N°14/0006 DU 05 FEVRIER 2014 + AVENANT N°21/0111 DU 11 MAI 2021 + CONTRAT DE VENTE N°22/0005 DU 10 JANVIER 2022 + AVENANT N°22/0579 DU 14 NOVEMBRE 2022 + CONTRAT DE VENTE N°23/0298 DU 02 JUIN 2023 +CONTRAT DE VENTE N°23/0329 DU 23 JUIN 2023 + AVENANT N°23/0491 DU 09 NOVEMBRE 2023 +AVENANT N°23/0548 DU 14 DECEMBRE 2023 + CONTRAT D'ACHAT N°24/0241 DU 14 JUIN 2024 + CONTRAT ACHAT N°24/0238 DU 14 JUIN 2024 : SONABHY ET TRAFIGURA,"VENTE, ACHAT, FUEL OIL, PRODUIT PETROLIER, SONABHY, TRAFIGURA","(CONTRAT, AVENANT)",DOCESSEN,2010 2014 2015 2016 2021 2022 2023 2024
00010,0523/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE N°10/150 DU 27 JANVIER 2010 + CONTRAT N° 14/1765 DU 18 JUIN 2014 + CONTRAT N°15/3639 DU 19 OCTOBRE 2015 : SONABHY ET NIKIEMA KOUDBI,"TRAVAIL, MANUTENTION, SONABHY, NIKIEMA KOUDBI",(CONTRAT),DOCESSEN,2010 2014-2015
00011,0524/CJ,CONVENTION DE STAGE N°10/45 DU 08 JANVIER 2010 : SONABHY ET ZERBO CHRISTINE,"STAGE, CONVENTION, SONABHY, ARCHIVES, ZERBO CHRISTINE",(CONTRAT),DOCESSEN,2010
00012,0525/CJ,CONVENTION DE STAGE N°10/124 DU 26 JANVIER 2010 : SONABHY ET BENON MARCELLIN,"STAGE, CONVENTION, SONABHY, INFORMATIQUE, BENON MARCELLIN",(CONTRAT),DOCESSEN,2010
00013,0526/CJ,CONVENTION DE STAGE N°10/157 DU 27 JANVIER 2010 : SONABHY ET ZOUNGRANA W ASMAOU,"STAGE, CONVENTION, SONABHY, COMPTABILITE, ZOUNGRANA W ASMAOU",(CONTRAT),DOCESSEN,2010
00014,0527/CJ,CONVENTION DE STAGE N°10/201 DU 03 FEVRIER 2011 : SONABHY ET NITIEMA SVITLANA,"STAGE, CONVENTION, SONABHY, LABORATOIRE, NITIEMA SVITLANA",(CONTRAT),DOCESSEN,2011
00015,0528/CJ,CONVENTION DE STAGE N°10/218 DU 04 FEVRIER 2010 : SONABHY ET BOLY HAFISSATOU,"STAGE, CONVENTION, SONABHY, FINANCE, COMPTABILITE, BOLY HAFISSATOU",(CONTRAT),DOCESSEN,2010
00016,0529/CJ,CONVENTION DE STAGE N°10/224 DU 08 FEVRIER 2010 : SONABHY ET KABRE T IDA REINE,"STAGE, CONVENTION, SONABHY, SECRETARIAT, BUREAUTIQUE, KABRE T IDA REINE",(CONTRAT),DOCESSEN,2011
00017,0530/CJ,CONVENTION DE STAGE N°10/225 DU 08 FEVRIER 2010 : SONABHY ET ILBOUDO NATHALIE TENIN,"STAGE, CONVENTION, SONABHY, SECRETARIAT, BUREAUTIQUE, ILBOUDO NATHALIE TENIN",(CONTRAT),DOCESSEN,2010
00018,0531/CJ,CONVENTION DE STAGE N°10/228 DU 08 FEVRIER 2010 : SONABHY ET TRAORE MAMADOU,"STAGE, CONVENTION, SONABHY, MECANIQUE GENERALE, ELECTROTECHNIQUE, TRAORE MAMADOU",(CONTRAT),DOCESSEN,2010
00019,0532/CJ,CONVENTION DE STAGE N°10/229 DU 08 FEVRIER 2010 : SONABHY ET GOUEM SOULEYMANE,"STAGE, CONVENTION, SONABHY, COMPTABILITE, GOUEM SOULEYMANE",(CONTRAT),DOCESSEN,2010
00020,0533/CJ,CONVENTION DE STAGE N°10/232 DU 09 FEVRIER 2010 : SONABHY ET SAWADOGO WENDYIIDA AMADOU,"STAGE, CONVENTION, SONABHY, ELECTRICITE INDUSTRIEL, SAWADOGO WENDYIIDA AMADOU",(CONTRAT),DOCESSEN,2010
00021,0534/CJ,CONVENTION DE STAGE N°10/245 DU 12 FEVRIER 2010 : SONABHY ET KABORE B ANTOINE DE PADOU,"STAGE, CONVENTION, SONABHY, GESTION COMMERCIALE, KABORE B ANTOINE DE PADOU",(CONTRAT),DOCESSEN,2010
00022,0535/CJ,CONVENTION DE STAGE N°10/257 DU 15 FEVRIER 2010 : SONABHY ET OUEDRAOGO TIPOKO ODETTE,"STAGE, CONVENTION, SONABHY, COMPTABILITE, OUEDRAOGO TIPOKO ODETTE",(CONTRAT),DOCESSEN,2010
00023,0536/CJ,CONVENTION DE STAGE N°10/337 DU 03 MARS 2010 : SONABHY ET DIALLO IBRAHIM,"STAGE, CONVENTION, SONABHY, ELECTRICITE INDUSTRIEL, DIALLO IBRAHIM",(CONTRAT),DOCESSEN,2010
00024,0537/CJ,CONVENTION DE STAGE N°10/338 DU 03 MARS 2010 : SONABHY ET PARE MASSITA DJENE B,"STAGE, CONVENTION, SONABHY, COMMERCE, PARE MASSITA DJENE B",(CONTRAT),DOCESSEN,2010
00025,0538/CJ,CONVENTION DE STAGE N°10/383 DU 17 MARS 2010 : SONABHY ET NANA BRUNO,"STAGE, CONVENTION, SONABHY, RESSOURCE HUMAINE, DROIT, NANA BRUNO",(CONTRAT),DOCESSEN,2010
00026,0539/CJ,CONVENTION DE STAGE N°10/442 DU 29 MARS 2010 : SONABHY ET BAMBARA COMBASSERE CARINE NADEGE,"STAGE, CONVENTION, SONABHY, FINANCE, COMPTABILITE, BAMBARA COMBASSERE CARINE NADEGE",(CONTRAT),DOCESSEN,2010
00027,0540/CJ,CONVENTION DE STAGE N°10/564 DU 22 AVRIL 2010 : SONABHY ET KABORE ABDOUL AZIS,"STAGE, CONVENTION, SONABHY, COMPTABILITE, KABORE ABDOUL AZIS",(CONTRAT),DOCESSEN,2010
00028,0541/CJ,CONVENTION DE STAGE N°10/733 DU 01 JUIN 2010 : SONABHY ET KABORE ABDOULNASSIROU,"STAGE, CONVENTION, SONABHY, KABORE ABDOULNASSIROU, GESTION COMMERCIALE",(CONTRAT),DOCESSEN,2010
00029,0542/CJ,CONVENTION DE STAGE N°10/734 DU 01 JUIN 2010 : SONABHY ET SIEBA DRABO FATOU,"STAGE, CONVENTION, SONABHY, FINANCE, COMPTABILITE, SIEBA DRABO FATOU",(CONTRAT),DOCESSEN,2010
00030,0543/CJ,CONVENTION DE STAGE N°10/750 DU 02 JUIN 2010 : SONABHY ET KAZAGABOU K IRENE,"STAGE, CONVENTION, SONABHY, FINANCE, COMPTABILITE, KAZAGABOU K IRENE",(CONTRAT),DOCESSEN,2010
00031,0544/CJ,CONVENTION DE STAGE N°10/751 DU 02 JUIN 2010 : SONABHY ET BOLY MADINA YASMINE,"STAGE, CONVENTION, SONABHY, INFORMATIQUE DE GESTION, BOLY MADINA YASMINE",(CONTRAT),DOCESSEN,2010
00032,0545/CJ,CONVENTION DE STAGE N°10/753 DU 04 JUIN 2010 : SONABHY ET SOME WINBANFO MARTIAL,"STAGE, CONVENTION, SONABHY, ELECTRONIQUE, MAINTENANCE, INFORMATIQUE, SOME WINBANFO MARTIAL",(CONTRAT),DOCESSEN,2010
00033,0546/CJ,CONVENTION DE STAGE N°10/754 DU 04 JUIN 2010 : SONABHY ET KOUGORPOA B GHISLAIN,"STAGE, CONVENTION, SONABHY, GENIE MECANIQUE, GENIE PRODUCTIQUE, KOUPORGOA B GHISLAIN",(CONTRAT),DOCESSEN,2010
00034,0547/CJ,CONVENTION DE STAGE N°10/755 DU 04 JUIN 2010 : SONABHY ET KONE DJENEBA SIA NADINE,"STAGE, CONVENTION, SONABHY, GESTION, AUDIT, KONE DJENEBA SIA NADINE",(CONTRAT),DOCESSEN,2010
00035,0548/CJ,CONVENTION DE STAGE N°10/881 DU 23 JUIN 2010 : SONABHY ET KABORE PASCALE WENDMY,"STAGE, CONVENTION, SONABHY, SECRETARIAT, BUREAUTIQUE, KABORE PASCALE WENDMY",(CONTRAT),DOCESSEN,2010
00036,0549/CJ,CONVENTION DE STAGE N°10/882 DU 23 JUIN 2010 : SONABHY ET OUEDRAOGO GISELE BINTOU,"STAGE, CONVENTION, SONABHY, ELECTRICITE INDUSTRIEL, OUEDRAOGO GISELE BINTOU",(CONTRAT),DOCESSEN,2010
00037,0550/CJ,CONVENTION DE STAGE N°10/883 DU 23 JUIN 2010 : SONABHY ET KABORE ANTOINE,"STAGE, CONVENTION, SONABHY, ELECTROTECHNIQUE, KABORE ANTOINE",(CONTRAT),DOCESSEN,2010
00038,0551/CJ,CONVENTION DE STAGE N°10/569 DU 22 AVRIL 2010 : SONABHY ET SANFO AISSATA,"STAGE, CONVENTION, SONABHY, RESSOURCE HUMAINE, SANFO AISSATA",(CONTRAT),DOCESSEN,2010
00039,0552/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS DU 18 MAI 2011 + AVENANT N°12/033 DU 02 AVRIL 2012 + CONTRAT N°18/0231 DU 26 FEVRIER 2018 + AVENANT N°19/0053 DU 11 FEVRIER 2019 + AVENANT N°20/0408 DU 31 DECEMBRE 2020 : SONABHY ET SOCIETE BUILDERS ET TRANSFORMERS (TAMBOURA BOUBAKAR),"TRANSPORT, PRODUIT PETROLIER, SONABHY, SOCIETE BUILDERS ET TRANSFORMERS, TAMBOURA BOUBAKAR","(CONTRAT, AVENANT)",DOCESSEN,2011 2012 2018 2019 2020
00040,0553/CJ,JURIDICTION ET CONTENTIEUX : CONVENTION DE CREDIT DECOUVERT DU 29 JUILLET 2011 + CONVENTION DU 16 JUILLET 2015 + CONVENTION DE CREDIT DU 24 AOUT 2016 + GARANTIE AUTONOME DE 1ERE DEMANDE AU CONTRAT N°406/2020: SONABHY ET BANK OF AFRICA,"CONVENTION, CREDIT, BANK OF AFRICA, SONABHY, VIVO ENERGY BURKINA, GARANTIE",(CONTRAT),DOCESSEN,2011 2015 2016 2020
00041,0554/CJ,RENOUVELLEMENT AUTORISATION DE STOCKAGE DE DDO DE LA SONAF DU 29 JUIN 2011 : ECO OIL ET SONAF,"STOCKAGE, DDO, SONAF, ECO OIL",(CONTRAT),DOCESSEN,2011
00042,0555/CJ,CONVENTION DE CREDIT DU CREDIT DU 28 JUILLET 2011 : SONABHY ET BICIA-B,"CREDIT, CONVENTION, SONABHY, BICIA-B",(CONTRAT),DOCESSEN,2011
00043,0556/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE FOURNITURE DE PRODUITS PETROLIERS N°11/72 DU 28 SEPTEMBRE 2011 + CONTRAT DE PASSAGE N°15/362 DU 12 NOVEMBRE 2015 + CONTRAT DE VENTE N°18/0006 DU 16 JANVIER 2018 : SONABHY ET MARO SA (MARINE ROUTIERE),"FOURNITURE, VENTE, PASSAGE, PRODUIT PETROLIER, SONABHY, MARO, MARINE ROUTIERE",(CONTRAT),DOCESSEN,2011 2015 2018
00044,0557/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE PASSAGE ET DE STOCKAGE DE PRODUITS PETROLIERS N°13/086 DE 2013 + CONTRAT DE PASSAGE ET DE STOCKAGE N°13/ 0116 DU 30 SEPTEMBRE 2013 : SONABHY ET BENIN PETROLEUM SERVICES (BPS),"PASSAGE, STOCKAGE, BPS, SONABHY, BENIN PETROLEUM SERVICES",(CONTRAT),DOCESSEN,2011 2013
00045,0558/CJ,"CONTRATS D'ENTRETIEN N°2011/002, 2011/009, 2011/015, 2011/016, 2011/017, 2011/018, 2011/019 DU 26 SEPTEMBRE 2011 : SONABHY ET CFAO TECHNOLOGIES","ENTRETIEN, CLIMATISEUR, ASCENSEUR, PHOTOCOPIEUR, CFAO TECHNOLOGIES, SONABHY",(CONTRAT),DOCESSEN,2011
00046,0559/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°11/074 DU 28 SEPTEMBRE 2011 + AVENANT N°12/0094 DU 25 JUILLET 2012 + CONTRAT N°17/0134 DU 03 MARS 2017 + CONTRAT N°18/0458 DU 16 AVRIL 2018 : SONABHY ET OUEDRAOGO ABDOUL FATA,"TRANSPORT, PRODUIT PETROLIER, OUEDRAOGO ABDOUL FATA, SONABHY","(CONTRAT, AVENANT)",DOCESSEN,2011 2012 2017 2018
00047,0560/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°11/073 DU 28 SEPTEMBRE 2011 + AVENANT N°13/0010 DU 05 FEVRIER 2013 + CONTRAT N°15/0231 DU 11/05/2015 : SONABHY ET NANA CONGO RIHANATA,"TRANSPORT, PRODUIT PETROLIER, NANA CONGO RIHANATA, SONABHY","(CONTRAT, AVENANT)",DOCESSEN,2011 2013 2015
00048,0561/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°11/069 DU 29 AOUT 2011 + AVENANT AU CONTRAT DE TRANSPORT N°12/012 DU 20 FEVRIER 2012 + AVENANT N°12/0089 DU 25 JUILLET 2012 AU CONTRAT DE TRANSPORT N°11/0069 + AVENANT N°13/0073 DU 01 JUILLET 2013 + AVENANT N°14/0164 DU 23 OCTOBRE 2014 + CONTRAT N°15/0218 DU 17 AVRIL 2015 + AVENANT N°16/025 DU 19 FEVRIER 2016 + AVENANT N°17/0358 DU 25 JUILLET 2017 + CONTRAT N°19/0026 DU 28 JANVIER 2019 + AVENANT N°20/0406 DU 28 DECEMBRE 2020 + AVENANT N°22/0156 DU 11 AVRIL 2022 + AVENANT N°22/0282 DU 31 MAI 2022 + AVENANT N°23/0112 DU 17 FEVRIER 2023 + AVENANT N°23/0435 DU 27 SEPTEMBRE 2023 + AVENANT N°23/0322 DU 16 JUIN 2023 + AVENANT N°24/0130 DU 06 MARS 2024 : SONABHY ET DJINADOU INOUSSA AFOLABI ABIODOUN,"TRANSPORT, PRODUIT PETROLIER, DJINADOU INOUSSA AFOLABI ABIODOUN, SONABHY","(CONTRAT, AVENANT)",DOCESSEN,2011 2012 2013 2014 2015 2016 2017 2019 2020 2022
00049,0562/CJ,CONTRAT DE TRAITEMENT DE PRODUITS : SIR ET CITC,"PRODUIT PETROLIER, TRAITEMENT, SOCIETE IVOIRIENNE DE RAFFINAGE, CITC",(CONTRAT),DOCESSEN,1993
00050,0563/CJ,CONTRAT DE TRAVAUX ET FOURNITURE POUR L'EXTENSION DU DEPOT DE BOBO DIOULASSO DU 24 MARS 1999 + AVENANT AUX TRAVAUX ET FOURNITURES POUR L'EXTENSION DU DEPOT DE BOBO DIOULASSO DU 24 MARS 1999 : ADMINISTRATIF ET TECHNIQUE : SONABHY ET FRIEDLANDER,"EXTENSION, DEPOT DE BOBO DIOULASSO, FRIEDLANDER, SONABHY",(CONTRAT),DOCESSEN,1999
00051,0564/CJ,PROTOCOLE D'ACCORD DE CREATION D'UNE SOCIETE DE PRODUCTION DE BIODIESEL AU BURKINA FASO DU 18 NOVEMBRE 2006 : SONABHY ET SOFITEX ET BIODIESEL INTERNATIONAL CORPORATION,"CREATION, PRODUCTION, BIODIESEL, BURKINA FASO, SOFITEX, BIODIESEL INTERNATIONAL CORPORATION, SONABHY",(CONTRAT),DOCESSEN,2006
00052,0565/CJ,POLICE D'ASSURANCE INDEMNITE DE FIN DE CARRIERE DU 13 JUILLET 2007 : SONABHY ET SONAR,"ASSURANCE, INDEMNITE, FIN DE CARRIERE, SONAR, SONABHY",(CONTRAT),DOCESSEN,2007
00053,0566/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS DU 13 MARS 2008 + AVENANT N°14/0009 DU 07 FEVRIER 2014 + AVENANT N°20/0317 DU 20 NOVEMBRE 2020 : SONABHY ET COTTRAS,"TRANSPORT, PRODUIT PETROLIER, COTTRAS, SONABHY","(CONTRAT, AVENANT)",DOCESSEN,2008 2014 2020
00054,0567/CJ,AVENANT N°10 ET N°11 DE RENOUVELLEMENT DE RISQUES DIVERSES ET D'INCENDIE DU 27 MARS 2008 : SONABHY ET SONAR,"ASSURANCE, AVENANT, RISQUE, INCENDIE, SONAR, SONABHY",(CONTRAT),DOCESSEN,2008
00055,0568/CJ,"AVENANT N°11 ET N°12 DE RENOUVELLEMENT RISQUES DIVERSE, INCENDIE DU 31 MARS 2011 : SONABHY ET SONAR","AVENANT, RISQUE, INCENDIE, SONAR, SONABHY",(CONTRAT),DOCESSEN,2011
00056,0569/CJ,POLICE D'ASSURANCE TOUS RISQUES SAUF DES HYDROCARBURES : AVENANT DE RENOUVELLEMENT DU 21 JANVIER 2011 : SONABHY ET SONAR,"ASSURANCE, RISQUE, AVENANT, SONAR, SONABHY",(CONTRAT),DOCESSEN,2011
00057,0570/CJ,POLICE D'ASSURANCE INCENDIE DES BATIMENTS ET DES EQUIPEMENTS : AVENANT DE RENOUVELLEMENT DU 21 JANVIER 2011 : SONABHY ET SONAR,"ASSURANCE, AVENANT, INCENDIE, BATIMENT, EQUIPEMENT, SONAR, SONABHY",(CONTRAT),DOCESSEN,2011
00058,0571/CJ,POLICE D'ASSURANCE RESPONSABILITE CIVILE GENERALE : AVENANT DE RENOUVELLEMENT DU 21 JANVIER 2011 : SONABHY ET SONAR,"ASSURANCE, AVENANT, RESPONSABILITE CIVILE, SONAR, SONABHY",(CONTRAT),DOCESSEN,2011
00059,0572/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°11/0068 DU 29 AOUT 2011 + AVENANT N°14/0010 DU 07 FEVRIER 2014 + AVENANT N°14/118 DU 20 AOUT 2014 + AVENANT N°17/0551 DU 15 NOVEMBRE 2017 + CONTRAT N°18/0309 DU 06 MARS 2018 + AVENANT N°18/0523 DU 01 JUIN 2018 + AVENANT N°22/0357 DU 24 JUIN 2022 : SONABHY ET GANITEX,"TRANSPORT, PRODUIT PETROLIER, GANITEX, SONABHY","(CONTRAT, AVENANT)",DOCESSEN,2011 2014 2017 2018 2022
00060,0573/CJ,CONTRAT POUR LA GESTION PRIVEE DU RESTAURANT DU PERSONNEL N°11/0075 DU 19 OCTOBRE 2011 : SONABHY ET GEGA,"GESTION, RESTAURANT, RESSOURCE HUMAINE, GEGA, SONABHY",(CONTRAT),DOCESSEN,2011
00061,0574/CJ,AVENANT AU CONTRAT DE VENTE DE 30 000 MT DE MOGAS DU 24 OCTOBRE 2011 : SONABHY ET ADDAX ENERGY,"AVENANT, VENTE, MOGAS, ADDAX ENERGY, SONABHY",(CONTRAT),DOCESSEN,2011
00062,0575/CJ,AVENANT D'INCORPORATION D'OBJETS ASSURES DU 15 JUIN 2011 : SONABHY ET SONAR,"AVENANT, ASSURANCE, VEHICULE, SONAR, SONABHY",(CONTRAT),DOCESSEN,2011
00063,0576/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE FOURNITURE DE PRODUITS PETROLIERS N°11/063 DU 01 AOUT 2011 + PROTOCOLE D'ACCORD N°14/0113 DU 13 AOUT 2014 + PROTOCOLE D'ACCORD AVENANT (001) N°14/151 DU 10 OCTOBRE 2014 + CONTRAT DE VENTE N°17/0728 DU 29 DECEMBRE 2017 : SONABHY ET FASO OIL,"FOURNITURE, PRODUIT PETROLIER, VENTE, FASO OIL, SONABHY",(CONTRAT),DOCESSEN,2011 2014 2017
00064,0577/CJ,CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°11/061 DU 25 JUILLET2011 : SONABHY ET OUEDRAOGO ABDOULAYE (CSTT),"TRANSPORT, PRODUIT PETROLIER, OUEDRAOGO ABDOULAYE, CSTT, SONABHY",(CONTRAT),DOCESSEN,2011
00065,0578/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°11/062 DU 28 JUILLET 2011 + AVENANT N°12/0133 DU 12 OCTOBRE 2012 + AVENANT N°13/0056 DU 25 AVRIL 2013 + CONTRAT N°15/0040 DU 13 FEVRIER 2015 + AVENANT N°16/042 DU 25 FEVRIER 2016 + AVENANT N°17/0259 DU 14 JUIN 2017 + CONTRAT N°18/00088 DU 03 FEVRIER 2018 + AVENANT N°23/0265 DU 05 MAI 2023 : SONABHY ET OUEDRAOGO ZAKARIA,"TRANSPORT, PRODUIT PETROLIER, OUEDRAOGO ZAKARIA, SONABHY","(CONTRAT, AVENANT)",DOCESSEN,2011 2012 2013 2015 2016 2017 2018 2023
00066,0579/CJ,CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°11/047 DU 18 MAI 2011 : SONABHY ET BM TRADING,"TRANSPORT, PRODUIT PETROLIER, BM TRADING, SONABHY",(CONTRAT),DOCESSEN,2011
00067,0580/CJ,CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°11/078 DU 24 OCTOBRE 2011 + CONTRAT N°15/0089 DU 02 MARS 2015 : SONABHY ET SANOU ISSOUF (STAR-BF),"TRANSPORT, PRODUIT PETROLIER, SANOU ISSOUF, STAR-BF, SONABHY",(CONTRAT),DOCESSEN,2011 2015
00068,0581/CJ,CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°11/077 DU 24 OCTOBRE 2011 + CONTRAT N°15/0149 DU 26 MARS 2015 + AVENANT N°16/0308 DU 27 JUILLET 2016 : SONABHY ET OUEDRAOGO k. OUSSENI,"TRANSPORT, PRODUIT PETROLIER, OUEDRAOGO K. OUSSENI, SONABHY","(CONTRAT, AVENANT)",DOCESSEN,2011 2015 2016
00069,0582/CJ,CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°11/029 DU 22 AVRIL 2011 : SONABHY ET SAWADOGO SOULEYMANE,"TRANSPORT, PRODUIT PETROLIER, SAWADOGO SOULEYMANE, SONABHY",(CONTRAT),DOCESSEN,2011
00070,0583/CJ,CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°11/076 DU 24 OCTOBRE 2011 : SONABHY ET OUEDRAOGO JEAN,"TRANSPORT, PRODUIT PETROLIER, OUEDRAOGO JEAN, SONABHY",(CONTRAT),DOCESSEN,2011
00071,0584/CJ,CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°11/079 DU 24 NOVEMBRE 2011 : SONABHY ET DRABO ISSA,"TRANSPORT, PRODUIT PETROLIER, DRABO ISSA, SONABHY",(CONTRAT),DOCESSEN,2011
00072,0585/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE FOURNITURE DE 20 000 TM DE PRODUITS PETROLIERS N°11/081 DU 07 DECEMBRE 2011 + CONTRAT DE VENTE DE PRODUITS PETROLIERS N°12/015 DU 28 FEVRIER 2012 + AVENANT N°12/0060 DU 15 MAI 2012 AU CONTRAT N°11/080 + AVENANT N°12/0086 DU 09 JUILLET 2012 AU CONTRAT N°11/080 + CONTRAT DE VENTE DE PRODUITS PETROLIERS N°13/0095 DU 14 AOUT 2013 + CONTRAT N°14/0063 DU 25 AVRIL 2014 + CONTRAT N°14/0086 DU 09 JUIN 2014 + CONTRAT DE FOURNITURE DE PRODUITS PETROLIERS N°15/0001 DU 05 JANVIER 2015 + CONTRAT N°15/0141 DU 20 MARS 2015 + AVENANT N°15/208 DU 13 AVRIL 2015 + CONTRAT N°15/0207 DU 13 AVRIL 2015 + CONTRAT DE VENTE N°15/0319 DU 03 SEPTEMBRE 2015 : SONABHY ET BENIN PETRO TRADING,"FOURNITURE, VENTE, PRODUIT PETROLIER, BENIN PETRO TRADING, SONABHY","(CONTRAT, AVENANT)",DOCESSEN,2011 2012 2013 2014 2015
