cote,auteur,titre,adresse,description_tech,descrip_matiere
REL.027,SONABHY,[DONNEES INFORMATIQUES] : DISQUE DUR,,1 DISQUE DUR,/BASE DE DONNEE/ /JDE/ /DONNE INFORMATIQUE/ /GESTION
REL.028,SONABHY,[DONNEES INFORMATIQUES]: DISQUE DUR HDD1224-4:,,1 Disque dur,/BASE DE DONNEE/ /COURRIER/ /DISQUE DUR/ /DONNEE
REL.029,SONABHY,[DONNEES INFORMATIQUES]: DISQUE DUR HDD1224-05:,,1 disque dur,/BASE DE DONNEE/ /DONNEE INFORMATIQUE/ /COURRIER/
REL.030,SONABHY,[DONNEES INFORMATIQUES]: DISQUE DUR HDD 1224-06 :,,1 disque dur,/BASE DE DONNEE/ /DISQUE DUR/ /DONNEE INFORMATIQUE/
REL.031,SONABHY,[DONNEES INFORMATIQUES]: DISQUE DUR HDD 1224-07:,,1 disque dur,/BASE DE DONNEE/ DONNEE INFORMATIQUE/ /KIRA/ /COURRIER/
USB.001,SONABHY,ARBRE DE NOEL DES ENFANTS DES EMPLOYES DE LA SONABHY,,1 CLEE USB,/DECISION/ /NUMERISATION/ /ARBRE DE NOEL/ /SONABHY/
CDR.073,SONABHY,[DOCUBASE: Fichiers et données informatiques de la,,1 CD - ROM,/DONNEE INFORMATIQUE/ /DOCUBASE/ /FINCOMPT/ /FICHIER
DVD. 030,SOCIETE NATIONALE BURKINABE D'HYDROCARBURE,ARBRE DE NOEL DE LA SOCIETE NATIONALE BURKINABE,,1 HEURE 35 MINUTES 14 SECONDES,/ARBRE DE NOEL//NOEL//SOCIETE NATIONALE BURKINABE
DVD. 031,SOCIETE NATIONALE BURKINABE D'HYDROCARBURES,SORTIE DETENTE SUR KOUBRI AU PROFIT DU PERSONNEL DE LA,,1 HEURE 45 MINUTES 53 SECONDES,/SORTIE DETENTE//KOUBRI//PERSONNEL //SOCIETE NATIONALE
DVD.032,SOCIETE NATIONALE BURKINABE D'HYDROCARBURES,FINALES DU CHAMPIONNAT NATIONAL DE HAND- BALL SENOIR,,44 SECONDES,/FEDERATION BURKINABE//HAND-BALL//CHAMPIONAT
DVD.033,SOCIETE NATIONALE BURKINABE D'HYDROCARBURES,CHAMPIONAT NATIONAL DE HAND-BALL SESSION 2009-2010:,,53 SECONDES,/CATEGORIE JUNIOR//CHAMPIONAT NATIONAL//HAND-BALL/
DVD.034,SOCIETE NATIONALE BURKINABE D'HYDROCARBURES,ARBRE DE NOEL SOCIETE NATIONALE BURKINABE,,1 HEURE 21 MINUTES 37 SECONDES,/ARBRE DE NOEL//NOEL//SOCIETE NATIONALE BURKINABE
DVD. 035,SOCIETE NATIONALE BURKINABE D'HYDROCARBURES,SPOT TELEVISION SOCIETE NATIONALE BURKINABE,,1 MINUTE 4 SEXONDES;  1 MINUTE 48 SECONDE; 54 SECONDES,/SPOT TELEVISION//SECURITE//GAZ DOMESTIQU// SOCETE
DVD. 036,SOCIET NATIONALE BURKINABE D'HYDROCARBURES,L'ASSOCIATION POUR LA SAUVEGARDE DES MASQUES,,,/ASSOCIATION // CULTURE//SAUVEGARDE//UNION ECONOMIQUE
DVD. 037,SOCIETE NATIONALE BURKINABE D'HYDROCARBURES,COMMMERATION DU 30 EME ANNIVERSAIRE DE LA SOCIETE,,2 HEURES 30 MINUTES,/ COMMEMORATION// ANNIVERSAIRE// SOCIETE NATIONALE
CDR. 075,SOCIETE NATIONALE BURKINABE D'HYDROCARBURES,UNE ENTREPRISE CITOYENNE AU SERVICE DE L'ECONOMIE ET,,1 HEURE 49 MINUTES 08 SECONDES,/SOCIETE NATIONALE BURKINABE
CDR. 076,SOCIETE NATIONALE BURKINABE D'HYDROCARBURES,UNE SOCIETE CITOYENNE AU SERVIC DE L'ECONOMIE ET DU,,13 MINUTES 36 SECONDES,/SOCIETE CITOYENNE//RADIODIFFUSION// ECONOMIE//SOCIETE
CDR. 077,SOCIETE NATIONALE BURKINABE D'HYDROCARBURES DDEPOT DE,EXERCICE INCENDIE FEU REEL,,19 MINUTES 05 SECONDES,/INCENDIE// BINGO//DEPOT// SOCIETE NATIONALE BURKINABE
CDR.078,SOCIETE NATIONALE BURKINABE D'HYDROCARBURES,"LA SOCIETE NATIONALE BURKINABE D'HYDROCARBURES,",,26 MINUTES 09 SECONDES,/SOCIETE NATIONALE BURKINABE D'HYROCARBURE//MISSION//
CDR.079,SOCIETE NATIONALE BURKINABE D'HYDROCARBURES,CONFERENCE DE PRESSE POUR S'ENTRETENIR AVEC LES MEDIAS,,3 minutes,/CONFERENCE DE PRESSE// MEDIA NATIONAL//PERTURBATION
CDR. 080,SOCIETE NATIONALE BURKINABE D'HYDROCARBURES,EXERCIEC DE STIMULATION D'INCENDIE,,53 MINUTES 28 SECONDES,/EXERCIE DE STIMULATION// INCENDIE/
CDR. 081,SOCIETE NATIONALES BURKINABE D'HYDROCARBURES,SERCURITE-QUALITE AUJORD'HUI ET DEMAIN,,05 MINUTES 24 SECONDES,/SECURITE// QUALITE// AUJORD'HUI// DEMAIN/
DISC. 013,,PROPHETHIE: SPECIALE DEDICACE A MONSIEUR LE DIRECTEUR,,1 HEURE 8 MINUTES 16 SECONDES,/VITALO//PROTHETIE//SPECIALE//DEDICACE//DIRECTEUR
DVD. 038,PORT AUTONOME D'ABIDJAN,PORT AUTONOME D'ADIDJIAN: UNE REFERENCE INTERNATIONALE,,113 MINUTES; 13 MINUTES ; 7 MINUTES; 53 SECONDES,/PORT AUTONOME//PORT SUR// PORT AUTONOME D'ABIDJAN//
PHO. 059,UNION D'ACTION SYNDICALE DU BURKINAFAO,LES CENTRALES SYNDICALES ET LES SYNDICATS AUTONOMES,,80 PHOTO EN COUL.,/CENTRALE SYNDICALE// SYNDICAT AUTONOME//JOURNEE
PHO.060,SOCIETE NATIONALE BURKINABE DQ4QHYDROCARBURES,COMMUNAUTE PORTUAIRE DE LOME,,31 PHOTO EN COUL.,/ COMMUNAUTE PORTUAIRE//LOME/
REL. 032,SOCIETE NATIONALE BURKINABE D'HYDROCARBURES,DIRECTION DE LA COMMUNICATION ET DES RELATIONS,,,/INORMATIQUE//BASE DE DONNEES//
REL.033,SOCIETE NATIONALE BURKINABE D'HYDROCARBURES,DIRECTION DE LA COMMUNICATION ET DES RELATIONS,,,
PHO. 061,SOCIETE NATIONALE BURKINABE D'HYDROCARBURES,VISITE DE LA DIRECTION GENERALE SUR LES CHANTIERS DU,,,/DEPOT DE BINGO// VISITE// DIRECTION GENERALE//
PPHO.062,SOCIETE NATIONALE BURKINABE D'HYROCARBURES,ARBRE DE NOEL,,,/SOCIETE NATIONALE BURKINABE D'HYDROCARBURE// ARBRE DE
PHO. 063,SOCIETE NATIONALE BURKINABE D'HYDROCARBURE,,,,
PHO. 064,SOCIETE NATIONALE BURKINABE D'HYdrocarbures,,,,
PHO. 065,SOCIETE NATIONALE BURKINABE D'HDROCARBURES,PRESENTATION DE VOEUX AU DEPOT DE BINGO,,PHOTOS EN COUL.,/DEPOT DE BINGO//
PHO. 066,SOCIETE NATIONALE BURKINABE D'HYDROCARBURES,PRESENTATION DE VOEUX DU PERSONNEL DE JANVIER 2016,,PHOTOS ENN COUL.,/PRESENTATION DE VOEUX//RESSOURCE HUMAINE// SOCIETE
PHO. 067,SOCIETE NATIONALE BURKINABE DQ4QHYDROCARBURES,ARBREV DE NOEL DE LA SOCIETE NATIONALE BURKINABE,,PHOTO EN COUL.,/ARBRE DE NOEL//ENFANCE//SOCIETE NATIONALE BURKINABE
