MFN,Code,TITRE/DOSSIER,CONTENU,ANA. DIPLOM.,DATE EXTREME,ANNEE,OBSERVATIONS,PASSAGE GED,SORT FINAL,CHARGEMENT BLEU
00638,634/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU OCTOBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10305324 à 10305503
00639,635/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU OCTOBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10305505 à 10305629
00640,636/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU OCTOBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10305630 à 10305752
00641,637/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU OCTOBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10305753 à 10305914
00642,638/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU OCTOBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10305932 à 10306091
00643,639/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU OCTOBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10306093 à 10306207
00644,640/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU OCTOBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10306208 à 10306229
00645,641/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU OCTOBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10306230 à 10306236
00646,642/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU OCTOBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10306247 à 10306478
00647,642/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU OCTOBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10306247 à 10306478
00648,643/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU OCTOBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10306451 à 10306622
00649,644/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU OCTOBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10306609 à 10306762
00650,645/LIV,LIVRAISON DES PRODUITS PETROLIERS: SORTIE DES PRODUITS PETROLIES ( BLANC) DU DEPOT DE BINGO.,"LIVRAISON, SORTIE, MARKETER, PRODUIT PETROLIER , COMPTA STOCK, DEPOT DE BINGO","(BON , BORDEREAU)",DU 28-29 JUILLET 2020,2020,DOCUMENTS COMPTA STOCK. COTATION REPRISE EN 2020 POUR LIVRER,OUI,CONSERVATION,N10306816 à 10306903
00060,0062/LIV,LIVRAISON DES PRODUITS PETROLIERS: BONS D'ENLEVEMENT  PRODUITS PETROLIES ( BLANC) DU DEPOT DE BINGO.,"LIVRAISON, ENLEVEMENT, PRODUIT BLANC, PRODUIT PETROLIER , CELLULE COMMERCIALE, DEPOT DE BINGO","(BON , BORDEREAU)",DU 02-07 JANVIER 2021,2021,DOCUMENTS CELLULE COMMERCIALE,OUI,CONSERVATION,
00061,0063/LIV,LIVRAISON DES PRODUITS PETROLIERS: BONS D'ENLEVEMENT  PRODUITS PETROLIES ( BLANC) DU DEPOT DE BINGO.,"LIVRAISON, ENLEVEMENT, PRODUIT BLANC, PRODUIT PETROLIER , CELLULE COMMERCIALE, DEPOT DE BINGO","(BON , BORDEREAU)",DU 08-13 JANVIER 2021,2021,DOCUMENTS CELLULE COMMERCIALE,OUI,CONSERVATION,
00062,0064/LIV,LIVRAISON DES PRODUITS PETROLIERS: BONS D'ENLEVEMENT  PRODUITS PETROLIES ( BLANC) DU DEPOT DE BINGO.,"LIVRAISON, ENLEVEMENT, PRODUIT BLANC, PRODUIT PETROLIER , CELLULE COMMERCIALE, DEPOT DE BINGO","(BON , BORDEREAU)",DU 13-19 JANVIER 2021,2021,DOCUMENTS CELLULE COMMERCIALE,OUI,CONSERVATION,
00651,646/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU OCTOBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10306904 à 10307120
00652,647/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU OCTOBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10307124 à 10307315
00653,648/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU OCTOBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10307317 à 10307408
00654,649/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU OCTOBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10307417 à 10307560
00655,650/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU OCTOBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10307572 à 10307705
00656,651/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU OCTOBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10307706 à 10307836
00657,652/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU NOVEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10307838 à 10307927
00658,653/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU NOVEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10307928 à 10308010
00659,654/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU NOVEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10307928 à 10308010
00660,655/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU NOVEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10308158 à 10308274
00661,656/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU NOVEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10308275 à 10308492
00662,657/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU NOVEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10308493 à 10308651
00663,658/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU NOVEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10309652 à 10308782
00664,659/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU NOVEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10309569 à 10309689
00665,660/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU NOVEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10310192 à 1031309
00666,661/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU NOVEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10310310 à 1031312
00667,662/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU NOVEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10310432 à 10310632
00668,663/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU NOVEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10310636 à 10311121
00669,664/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU NOVEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10310636 à 10311121
00670,665/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU NOVEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10309689 à 10309902
00671,666/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU NOVEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10309903 à 10310045
00672,667/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU NOVEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10310047 à 10310191
00673,668/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU NOVEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10310311 à 10310430
00674,669/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU DECEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10310786 à 10310914
00675,670/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU DECEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10310926 à 10311034
00676,671/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU DECEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10311046 à 10311156
00677,672/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU DECEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10311135 à 10311353
00678,673/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU DECEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10311354 à 10311355
00679,674/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU DECEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10311361 à 10312126
00680,675/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU DECEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10311365 à 103113965
00681,676/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU DECEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10311458 à 103114573
00682,677/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU DECEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10311613 à 10312230
00683,678/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU DECEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10311768 à 10311929
00684,679/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU DECEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10311967 à 10312241
00685,680/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU DECEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10312236 à 10312374
00686,681/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU DECEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10312311 à 10312515
00687,682/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU DECEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10312512 à 10312669
00688,683/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU DECEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10312635 à 10312882
00689,684/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU DECEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10312884 à 10313040
00690,685/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU DECEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10313041 à 10313324
00691,686/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU DECEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10313174 à 10313350
00692,687/LIV,,,,,,,,CONSERVATION,
00063,0065/LIV,LIVRAISON DES PRODUITS PETROLIERS: BONS D'ENLEVEMENT  PRODUITS PETROLIES ( BLANC) DU DEPOT DE BINGO.,"LIVRAISON, ENLEVEMENT, PRODUIT BLANC, PRODUIT PETROLIER , CELLULE COMMERCIALE, DEPOT DE BINGO","(BON , BORDEREAU)",DU 20-25 JANVIER 2021,2021,DOCUMENTS CELLULE COMMERCIALE,OUI,CONSERVATION,
00064,0066/LIV,LIVRAISON DES PRODUITS PETROLIERS: BONS D'ENLEVEMENT  PRODUITS PETROLIES ( BLANC) DU DEPOT DE BINGO.,"LIVRAISON, ENLEVEMENT, PRODUIT BLANC, PRODUIT PETROLIER , CELLULE COMMERCIALE, DEPOT DE BINGO","(BON , BORDEREAU)",DU 26-29 JANVIER 2021,2021,DOCUMENTS CELLULE COMMERCIALE,OUI,CONSERVATION,
00065,0067/LIV,LIVRAISON DES PRODUITS PETROLIERS: BONS D'ENLEVEMENT  PRODUITS PETROLIES ( BLANC) DU DEPOT DE BINGO.,"LIVRAISON, ENLEVEMENT, PRODUIT BLANC, PRODUIT PETROLIER , CELLULE COMMERCIALE, DEPOT DE BINGO","(BON , BORDEREAU)",DU 01-05 FEVRIER 2021,2021,DOCUMENTS CELLULE COMMERCIALE,OUI,CONSERVATION,
00066,0068/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU DECEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10313328 à 10313532
00693,688/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU DECEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10313328 à 10313532
00694,689/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU DECEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10313420 à 10313645
00695,690/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU DECEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10313788 à 10313932
00696,691/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU DECEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10313933 à 10314084
00697,692/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU DECEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10314097 à 10314249
00698,693/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU N0VEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10308794 à 10308885
00699,694/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU N0VEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10308888 à 10309009
00700,695/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU N0VEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10309011 à 10309216
00701,696/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU N0VEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10309217 à 10309355
00702,697/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU N0VEMBRE 2020,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10309357 à 10309490
00703,698/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU 11 AU 12 JANVIER 2021,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10315060 à 10325133
00704,699/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU 11 AU 12 JANVIER 2021,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,N10315060 à 10325133
00705,700/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU 13 AU 15 JANVIER 2021,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,
00706,701/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU 13 AU 15 JANVIER 2021,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,
00707,702/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU 25 AU 27 JANVIER 2021,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,
00708,703/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU 28 AU 29 JANVIER 2021,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,
00709,704/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU 01 AU 04 FEVRIER 2021,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,
00710,705/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU 08 AU 10 FEVRIER 2021,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,
00711,706/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU 11 AU 15 FEVRIER 2021,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,
00712,707/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE,"LIVRAISON, CHARGEMENT, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU 17 AU 19 FEVRIER 2021,2020,BONS DE CHARGEMENT BLEU DU SERVICE MOUVEMENT,OUI,CONSERVATION,
