ID;CODE;TITRE;CONTENU;ANA_DIPLOM;DATE;OBSERVATIONS;PASSAGE_GED;BASE_GED
23;0023/CJ;Juridiction Et Contentieux : Contrat De Vente De Gaz Butane 1996 + Avenant;Vente, Gaz Butane, Sonabhy, ONSL;contrat, avenant;1996;;OUI;DOCESSEN
24;0024/CJ;Juridiction Et Contentieux : Convention De Vente De Gaz Butane Du 31 Decembre 1997;Vente, Gaz Butane, Sonabhy, SODIGAZ APC;contrat;1997;;OUI;DOCESSEN
25;0025/CJ;Juridiction Et Contentieux : Convention De Vente De Gaz Butane 1998;Vente, Gaz Butane, Sonabhy, SODIGAZ APC;contrat;1998;;OUI;DOCESSEN
26;0026/CJ;Juridiction Et Contentieux : Convention De Vente De Gaz Butane 1999;Vente, Gaz Butane, Sonabhy, SODIGAZ APC;contrat;1999;;OUI;DOCESSEN
27;0027/CJ;Juridiction Et Contentieux : Convention De Vente De Gaz Butane 2000 + 2 Avenants;Vente, Gaz Butane, Sonabhy, SODIGAZ APC;contrat, avenant;2000;;OUI;DOCESSEN
28;0028/CJ;Juridiction Et Contentieux : Convention De Vente De Gaz Butane 2001 + 2 Avenants;Vente, Gaz Butane, Sonabhy, SODIGAZ APC;contrat, avenant;2001;;OUI;DOCESSEN
29;0029/CJ;Poursuite Judiciaire Contre Diallo Malik Et Sawadogo Adama En 2006;Acte Juridique, Diallo Malik, Sawadogo Adama, Enquete;proces verbal;2006;;OUI;DOCESSEN
30;0030/CJ;Juridiction Et Contentieux : Convention De Credit Revolving En Gaz De 1998 + Avenant N°2 Du 01 Avril 1998 + Convention De Prefinancement Du 13 Mars 2001 + Convention De Credit Revolving Du 06 Mars 2002 + Convention De Prefinancement Des Subventions Gaz Du 23 Janvier 2003 + Fourniture De DDO A HAGE Industries Du 20 Juin 2008 : Std Sodigaz Et Sonabhy;Credit Revolving, Prefinancement, Subvention, DDO, Fourniture, GAZ Butane, STD Sodigaz APC, Sonabhy;convention;1998, 2001, 2002, 2003, 2008;;OUI;DOCESSEN
31;0031/CJ;Juridiction Et Contentieux : Convention De Vente De Produits Petroliers DU 30 Mai 2000 + Avenant N°1 Du 27 Juin 2001 + Avenant N°2 Du 29 Aout 2001 + Avenant N°3 Du 02 Avril 2003 + Avenant N°4 Du 05 Mai 2004 + Avenant N°5 Du 18 Mai 2005 : Sonabhy Et Octogone Trading Oil;Vente, Produit Petrolier, Sonabhy, Octogone Trading Oil;contrat;2000-2005;;OUI;DOCESSEN
32;0032/CJ;Juridiction Et Contentieux : Contrat De Vente De 1 500 TM De Gasoil + Contrat De Vente De 1 500 TM D'essence DU 31 Mars 2005 + Avenant N°1 Du 13 Juin 2005 : Sonabhy Et GEB (PPAM);Vente, Gasoil, Essence, Sonabhy, GEB, PPAM;contrat, avenant;2005;;OUI;DOCESSEN
33;0033/CJ;Juridiction Et Contentieux : Contrat De Vente De 1 500 TM De Gasoil + Contrat De Vente De 1 500 TM D'essence DU 06 Janvier 2006 + Avenant N°1 Du 06 Janvier 2006 : Sonabhy Et GEB (PPAM);Vente, Gasoil, Essence, Sonabhy, GEB, PPAM;contrat, avenant;2006;;OUI;DOCESSEN
34;0034/CJ;Juridiction Et Contentieux : Contrat De Vente De 20 000 TM De Gasoil DU 13 Fevrier 2007 : Sonabhy Et Librairie Diacfa;Vente, Gasoil, Sonabhy, Librairie DIACFA;contrat;2007;;OUI;DOCESSEN
35;0035/CJ;Juridiction Et Contentieux : Contrat De Vente De 20 000 TM De Gasoil DU 12 Mars 2008 : Sonabhy Et Librairie Diacfa;Vente, Gasoil, Sonabhy, Librairie DIACFA;contrat;2008;;OUI;DOCESSEN
36;0036/CJ;Juridiction Et Contentieux : Contrat De Vente De 20 000 TM De Gasoil DU 30 Mars 2009 : Sonabhy Et Librairie Diacfa;Vente, Gasoil, Sonabhy, Librairie DIACFA;contrat;2009;;OUI;DOCESSEN
37;0037/CJ;Juridiction Et Contentieux : Contrat De Vente De 20 000 TM De Gasoil DU 13 Janvier 2010 : Sonabhy Et Librairie Diacfa;Vente, Gasoil, Sonabhy, Librairie DIACFA;contrat;2010;;OUI;DOCESSEN
38;0038/CJ;Juridiction Et Contentieux : Contrat De Vente De 20 000 TM De Gasoil DU 12 Janvier 2011 : Sonabhy Et Librairie Diacfa;Vente, Gasoil, Sonabhy, Librairie DIACFA;contrat;2011;;OUI;DOCESSEN
39;0039/CJ;Juridiction Et Contentieux : Contrat De Vente De Produits Petroliers 2009 + Contrat De Vente Du 22 Janvier 2009 + Contrat De Vente N°14/071 DU 28 Aout 2014 + Avenant N°14/0135 DU 15 Decembre 2014 : Sonabhy Et Octogone Trading Oil;Vente, Produit Petrolier, Sonabhy, Octogone Trading Oil;contrat, avenant;2009, 2014;;OUI;DOCESSEN
40;0040/CJ;Juridiction Et Contentieux : Contrat De Passage De Produits Petroliers DU 17 Avril 2009 + Avenant N°18/0433 DU 05 Juillet 2018 : Sonabhy Et Sampana SA;Passage, Cession, Transport, Accord, Stockage, Produit Petrolier, SAMPANA SA, Sonabhy;contrat;2009, 2018;;OUI;DOCESSEN
41;0041/CJ;Juridiction Et Contentieux : Contrat De Passage De Produits Petroliers 2010 + Contrat De Cession De Produits Petroliers 2010 + Contrat De Transport De Produits Petroliers 2010 + Protocole D'accord N°11/025 DU 28 Mars 2011 + Protocole D'accord N°11/026 DU 28 Mars 2011 : Sonabhy Et NOCOP (SN-CITEC);Passage, Cession, Transport, Accord, Stockage, Produit Petrolier, NOCOP, SN-CITEC, Sonabhy;contrat;2010-2011;;OUI;DOCESSEN
42;0042/CJ;Juridiction Et Contentieux : Contrat De Vente De Produits Petroliers 2011 + Avenant N°12/0223 DU 09 Aout 2012 + Contrat De Vente N°14/0372 DU 04 Novembre 2014 + Avenant N°15/0356 DU 28 Decembre 2015 : Sonabhy Et Librairie Diacfa;Vente, Produit Petrolier, Sonabhy, Librairie DIACFA;contrat, avenant;2011-2015;;OUI;DOCESSEN
43;0043/CJ;Juridiction Et Contentieux : Contrat De Vente De 20 000 TM De Gasoil DU 14 Decembre 2016 : Sonabhy Et Librairie Diacfa;Vente, Gasoil, Sonabhy, Librairie DIACFA;contrat;2016;;OUI;DOCESSEN
44;0044/CJ;Juridiction Et Contentieux : Contrat De Vente De 20 000 TM De Gasoil DU 07 Avril 2017 : Sonabhy Et Librairie Diacfa;Vente, Gasoil, Sonabhy, Librairie DIACFA;contrat;2017;;OUI;DOCESSEN
